1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
765.png	sunset	🌇️	\U0001F307\U0000FE0F	U+1F307	sunset
766.png	bridge at night	🌉️	\U0001F309\U0000FE0F	U+1F309	bridge at night
767.png	hot springs	♨️	\U00002668\U0000FE0F	U+2668	hot springs
768.png	milky way	🌌️	\U0001F30C\U0000FE0F	U+1F30C	milky way
769.png	carousel horse	🎠️	\U0001F3A0\U0000FE0F	U+1F3A0	carousel horse
770.png	ferris wheel	🎡️	\U0001F3A1\U0000FE0F	U+1F3A1	ferris wheel
771.png	roller coaster	🎢️	\U0001F3A2\U0000FE0F	U+1F3A2	roller coaster
772.png	barber pole	💈️	\U0001F488\U0000FE0F	U+1F488	barber pole
773.png	circus tent	🎪️	\U0001F3AA\U0000FE0F	U+1F3AA	circus tent
774.png	locomotive	🚂️	\U0001F682\U0000FE0F	U+1F682	locomotive
775.png	railway car	🚃️	\U0001F683\U0000FE0F	U+1F683	railway car
776.png	high-speed train	🚄️	\U0001F684\U0000FE0F	U+1F684	high-speed train
777.png	bullet train	🚅️	\U0001F685\U0000FE0F	U+1F685	bullet train
778.png	train	🚆️	\U0001F686\U0000FE0F	U+1F686	train
779.png	metro	🚇️	\U0001F687\U0000FE0F	U+1F687	metro
780.png	light rail	🚈️	\U0001F688\U0000FE0F	U+1F688	light rail
781.png	station	🚉️	\U0001F689\U0000FE0F	U+1F689	station
782.png	tram	🚊️	\U0001F68A\U0000FE0F	U+1F68A	tram
783.png	monorail	🚝️	\U0001F69D\U0000FE0F	U+1F69D	monorail
784.png	mountain railway	🚞️	\U0001F69E\U0000FE0F	U+1F69E	mountain railway
785.png	tram car	🚋️	\U0001F68B\U0000FE0F	U+1F68B	tram car
786.png	bus	🚌️	\U0001F68C\U0000FE0F	U+1F68C	bus
787.png	oncoming bus	🚍️	\U0001F68D\U0000FE0F	U+1F68D	oncoming bus
788.png	trolleybus	🚎️	\U0001F68E\U0000FE0F	U+1F68E	trolleybus
789.png	minibus	🚐️	\U0001F690\U0000FE0F	U+1F690	minibus
790.png	ambulance	🚑️	\U0001F691\U0000FE0F	U+1F691	ambulance
791.png	fire engine	🚒️	\U0001F692\U0000FE0F	U+1F692	fire engine
792.png	police car	🚓️	\U0001F693\U0000FE0F	U+1F693	police car
793.png	oncoming police car	🚔️	\U0001F694\U0000FE0F	U+1F694	oncoming police car
794.png	taxi	🚕️	\U0001F695\U0000FE0F	U+1F695	taxi
795.png	oncoming taxi	🚖️	\U0001F696\U0000FE0F	U+1F696	oncoming taxi
796.png	automobile	🚗️	\U0001F697\U0000FE0F	U+1F697	automobile
797.png	oncoming automobile	🚘️	\U0001F698\U0000FE0F	U+1F698	oncoming automobile
798.png	sport utility vehicle	🚙️	\U0001F699\U0000FE0F	U+1F699	sport utility vehicle
799.png	delivery truck	🚚️	\U0001F69A\U0000FE0F	U+1F69A	delivery truck
800.png	articulated lorry	🚛️	\U0001F69B\U0000FE0F	U+1F69B	articulated lorry
801.png	tractor	🚜️	\U0001F69C\U0000FE0F	U+1F69C	tractor
802.png	bicycle	🚲️	\U0001F6B2\U0000FE0F	U+1F6B2	bicycle
803.png	kick scooter	🛴️	\U0001F6F4\U0000FE0F	U+1F6F4	kick scooter
804.png	⊛ skateboard	🛹️	\U0001F6F9\U0000FE0F	U+1F6F9	⊛ skateboard
805.png	motor scooter	🛵️	\U0001F6F5\U0000FE0F	U+1F6F5	motor scooter
806.png	bus stop	🚏️	\U0001F68F\U0000FE0F	U+1F68F	bus stop
807.png	motorway	🛣️	\U0001F6E3\U0000FE0F	U+1F6E3	motorway
808.png	railway track	🛤️	\U0001F6E4\U0000FE0F	U+1F6E4	railway track
809.png	oil drum	🛢️	\U0001F6E2\U0000FE0F	U+1F6E2	oil drum
810.png	fuel pump	⛽️	\U000026FD\U0000FE0F	U+26FD	fuel pump
811.png	police car light	🚨️	\U0001F6A8\U0000FE0F	U+1F6A8	police car light
812.png	horizontal traffic light	🚥️	\U0001F6A5\U0000FE0F	U+1F6A5	horizontal traffic light
813.png	vertical traffic light	🚦️	\U0001F6A6\U0000FE0F	U+1F6A6	vertical traffic light
814.png	stop sign	🛑️	\U0001F6D1\U0000FE0F	U+1F6D1	stop sign
815.png	construction	🚧️	\U0001F6A7\U0000FE0F	U+1F6A7	construction
816.png	anchor	⚓️	\U00002693\U0000FE0F	U+2693	anchor
817.png	sailboat	⛵️	\U000026F5\U0000FE0F	U+26F5	sailboat
818.png	canoe	🛶️	\U0001F6F6\U0000FE0F	U+1F6F6	canoe
819.png	speedboat	🚤️	\U0001F6A4\U0000FE0F	U+1F6A4	speedboat
820.png	passenger ship	🛳️	\U0001F6F3\U0000FE0F	U+1F6F3	passenger ship
821.png	ferry	⛴️	\U000026F4\U0000FE0F	U+26F4	ferry
822.png	motor boat	🛥️	\U0001F6E5\U0000FE0F	U+1F6E5	motor boat
823.png	ship	🚢️	\U0001F6A2\U0000FE0F	U+1F6A2	ship
824.png	airplane	✈️	\U00002708\U0000FE0F	U+2708	airplane
825.png	small airplane	🛩️	\U0001F6E9\U0000FE0F	U+1F6E9	small airplane
826.png	airplane departure	🛫️	\U0001F6EB\U0000FE0F	U+1F6EB	airplane departure
827.png	airplane arrival	🛬️	\U0001F6EC\U0000FE0F	U+1F6EC	airplane arrival
828.png	seat	💺️	\U0001F4BA\U0000FE0F	U+1F4BA	seat
829.png	helicopter	🚁️	\U0001F681\U0000FE0F	U+1F681	helicopter
830.png	suspension railway	🚟️	\U0001F69F\U0000FE0F	U+1F69F	suspension railway
831.png	mountain cableway	🚠️	\U0001F6A0\U0000FE0F	U+1F6A0	mountain cableway
832.png	aerial tramway	🚡️	\U0001F6A1\U0000FE0F	U+1F6A1	aerial tramway
833.png	satellite	🛰️	\U0001F6F0\U0000FE0F	U+1F6F0	satellite
834.png	rocket	🚀️	\U0001F680\U0000FE0F	U+1F680	rocket
835.png	flying saucer	🛸️	\U0001F6F8\U0000FE0F	U+1F6F8	flying saucer
836.png	bellhop bell	🛎️	\U0001F6CE\U0000FE0F	U+1F6CE	bellhop bell
837.png	⊛ luggage	🧳️	\U0001F9F3\U0000FE0F	U+1F9F3	⊛ luggage
838.png	hourglass done	⌛️	\U0000231B\U0000FE0F	U+231B	hourglass done
839.png	hourglass not done	⏳️	\U000023F3\U0000FE0F	U+23F3	hourglass not done
840.png	watch	⌚️	\U0000231A\U0000FE0F	U+231A	watch
841.png	alarm clock	⏰️	\U000023F0\U0000FE0F	U+23F0	alarm clock
842.png	stopwatch	⏱️	\U000023F1\U0000FE0F	U+23F1	stopwatch
843.png	timer clock	⏲️	\U000023F2\U0000FE0F	U+23F2	timer clock
844.png	mantelpiece clock	🕰️	\U0001F570\U0000FE0F	U+1F570	mantelpiece clock
845.png	twelve o’clock	🕛️	\U0001F55B\U0000FE0F	U+1F55B	twelve o’clock
846.png	twelve-thirty	🕧️	\U0001F567\U0000FE0F	U+1F567	twelve-thirty
847.png	one o’clock	🕐️	\U0001F550\U0000FE0F	U+1F550	one o’clock
848.png	one-thirty	🕜️	\U0001F55C\U0000FE0F	U+1F55C	one-thirty
849.png	two o’clock	🕑️	\U0001F551\U0000FE0F	U+1F551	two o’clock
850.png	two-thirty	🕝️	\U0001F55D\U0000FE0F	U+1F55D	two-thirty
851.png	three o’clock	🕒️	\U0001F552\U0000FE0F	U+1F552	three o’clock
852.png	three-thirty	🕞️	\U0001F55E\U0000FE0F	U+1F55E	three-thirty
853.png	four o’clock	🕓️	\U0001F553\U0000FE0F	U+1F553	four o’clock
854.png	four-thirty	🕟️	\U0001F55F\U0000FE0F	U+1F55F	four-thirty
855.png	five o’clock	🕔️	\U0001F554\U0000FE0F	U+1F554	five o’clock
856.png	five-thirty	🕠️	\U0001F560\U0000FE0F	U+1F560	five-thirty
857.png	six o’clock	🕕️	\U0001F555\U0000FE0F	U+1F555	six o’clock
858.png	six-thirty	🕡️	\U0001F561\U0000FE0F	U+1F561	six-thirty
859.png	seven o’clock	🕖️	\U0001F556\U0000FE0F	U+1F556	seven o’clock
860.png	seven-thirty	🕢️	\U0001F562\U0000FE0F	U+1F562	seven-thirty
861.png	eight o’clock	🕗️	\U0001F557\U0000FE0F	U+1F557	eight o’clock
862.png	eight-thirty	🕣️	\U0001F563\U0000FE0F	U+1F563	eight-thirty
863.png	nine o’clock	🕘️	\U0001F558\U0000FE0F	U+1F558	nine o’clock
864.png	nine-thirty	🕤️	\U0001F564\U0000FE0F	U+1F564	nine-thirty
865.png	ten o’clock	🕙️	\U0001F559\U0000FE0F	U+1F559	ten o’clock
866.png	ten-thirty	🕥️	\U0001F565\U0000FE0F	U+1F565	ten-thirty
867.png	eleven o’clock	🕚️	\U0001F55A\U0000FE0F	U+1F55A	eleven o’clock
868.png	eleven-thirty	🕦️	\U0001F566\U0000FE0F	U+1F566	eleven-thirty
869.png	new moon	🌑️	\U0001F311\U0000FE0F	U+1F311	new moon
870.png	waxing crescent moon	🌒️	\U0001F312\U0000FE0F	U+1F312	waxing crescent moon
871.png	first quarter moon	🌓️	\U0001F313\U0000FE0F	U+1F313	first quarter moon
872.png	waxing gibbous moon	🌔️	\U0001F314\U0000FE0F	U+1F314	waxing gibbous moon
873.png	full moon	🌕️	\U0001F315\U0000FE0F	U+1F315	full moon
874.png	waning gibbous moon	🌖️	\U0001F316\U0000FE0F	U+1F316	waning gibbous moon
875.png	last quarter moon	🌗️	\U0001F317\U0000FE0F	U+1F317	last quarter moon
876.png	waning crescent moon	🌘️	\U0001F318\U0000FE0F	U+1F318	waning crescent moon
877.png	crescent moon	🌙️	\U0001F319\U0000FE0F	U+1F319	crescent moon
878.png	new moon face	🌚️	\U0001F31A\U0000FE0F	U+1F31A	new moon face
879.png	first quarter moon face	🌛️	\U0001F31B\U0000FE0F	U+1F31B	first quarter moon face
880.png	last quarter moon face	🌜️	\U0001F31C\U0000FE0F	U+1F31C	last quarter moon face
881.png	thermometer	🌡️	\U0001F321\U0000FE0F	U+1F321	thermometer
882.png	sun	☀️	\U00002600\U0000FE0F	U+2600	sun
883.png	full moon face	🌝️	\U0001F31D\U0000FE0F	U+1F31D	full moon face
884.png	sun with face	🌞️	\U0001F31E\U0000FE0F	U+1F31E	sun with face
885.png	star	⭐️	\U00002B50\U0000FE0F	U+2B50	star
886.png	glowing star	🌟️	\U0001F31F\U0000FE0F	U+1F31F	glowing star
887.png	shooting star	🌠️	\U0001F320\U0000FE0F	U+1F320	shooting star
888.png	cloud	☁️	\U00002601\U0000FE0F	U+2601	cloud
889.png	sun behind cloud	⛅️	\U000026C5\U0000FE0F	U+26C5	sun behind cloud
890.png	cloud with lightning and rain	⛈️	\U000026C8\U0000FE0F	U+26C8	cloud with lightning and rain
891.png	sun behind small cloud	🌤️	\U0001F324\U0000FE0F	U+1F324	sun behind small cloud
892.png	sun behind large cloud	🌥️	\U0001F325\U0000FE0F	U+1F325	sun behind large cloud
893.png	sun behind rain cloud	🌦️	\U0001F326\U0000FE0F	U+1F326	sun behind rain cloud
894.png	cloud with rain	🌧️	\U0001F327\U0000FE0F	U+1F327	cloud with rain
895.png	cloud with snow	🌨️	\U0001F328\U0000FE0F	U+1F328	cloud with snow
896.png	cloud with lightning	🌩️	\U0001F329\U0000FE0F	U+1F329	cloud with lightning
897.png	tornado	🌪️	\U0001F32A\U0000FE0F	U+1F32A	tornado
898.png	fog	🌫️	\U0001F32B\U0000FE0F	U+1F32B	fog
899.png	wind face	🌬️	\U0001F32C\U0000FE0F	U+1F32C	wind face
900.png	cyclone	🌀️	\U0001F300\U0000FE0F	U+1F300	cyclone
901.png	rainbow	🌈️	\U0001F308\U0000FE0F	U+1F308	rainbow
902.png	closed umbrella	🌂️	\U0001F302\U0000FE0F	U+1F302	closed umbrella
903.png	umbrella	☂️	\U00002602\U0000FE0F	U+2602	umbrella
904.png	umbrella with rain drops	☔️	\U00002614\U0000FE0F	U+2614	umbrella with rain drops
905.png	umbrella on ground	⛱️	\U000026F1\U0000FE0F	U+26F1	umbrella on ground
906.png	high voltage	⚡️	\U000026A1\U0000FE0F	U+26A1	high voltage
907.png	snowflake	❄️	\U00002744\U0000FE0F	U+2744	snowflake
908.png	snowman	☃️	\U00002603\U0000FE0F	U+2603	snowman
909.png	snowman without snow	⛄️	\U000026C4\U0000FE0F	U+26C4	snowman without snow
910.png	comet	☄️	\U00002604\U0000FE0F	U+2604	comet
911.png	fire	🔥️	\U0001F525\U0000FE0F	U+1F525	fire
912.png	droplet	💧️	\U0001F4A7\U0000FE0F	U+1F4A7	droplet
913.png	water wave	🌊️	\U0001F30A\U0000FE0F	U+1F30A	water wave
914.png	jack-o-lantern	🎃️	\U0001F383\U0000FE0F	U+1F383	jack-o-lantern
915.png	Christmas tree	🎄️	\U0001F384\U0000FE0F	U+1F384	Christmas tree
916.png	fireworks	🎆️	\U0001F386\U0000FE0F	U+1F386	fireworks
917.png	sparkler	🎇️	\U0001F387\U0000FE0F	U+1F387	sparkler
918.png	⊛ firecracker	🧨️	\U0001F9E8\U0000FE0F	U+1F9E8	⊛ firecracker
919.png	sparkles	✨️	\U00002728\U0000FE0F	U+2728	sparkles
920.png	balloon	🎈️	\U0001F388\U0000FE0F	U+1F388	balloon
921.png	party popper	🎉️	\U0001F389\U0000FE0F	U+1F389	party popper
922.png	confetti ball	🎊️	\U0001F38A\U0000FE0F	U+1F38A	confetti ball
923.png	tanabata tree	🎋️	\U0001F38B\U0000FE0F	U+1F38B	tanabata tree
924.png	pine decoration	🎍️	\U0001F38D\U0000FE0F	U+1F38D	pine decoration
925.png	Japanese dolls	🎎️	\U0001F38E\U0000FE0F	U+1F38E	Japanese dolls
926.png	carp streamer	🎏️	\U0001F38F\U0000FE0F	U+1F38F	carp streamer
927.png	wind chime	🎐️	\U0001F390\U0000FE0F	U+1F390	wind chime
928.png	moon viewing ceremony	🎑️	\U0001F391\U0000FE0F	U+1F391	moon viewing ceremony
929.png	⊛ red envelope	🧧️	\U0001F9E7\U0000FE0F	U+1F9E7	⊛ red envelope
930.png	ribbon	🎀️	\U0001F380\U0000FE0F	U+1F380	ribbon
931.png	wrapped gift	🎁️	\U0001F381\U0000FE0F	U+1F381	wrapped gift
932.png	reminder ribbon	🎗️	\U0001F397\U0000FE0F	U+1F397	reminder ribbon
933.png	admission tickets	🎟️	\U0001F39F\U0000FE0F	U+1F39F	admission tickets
934.png	ticket	🎫️	\U0001F3AB\U0000FE0F	U+1F3AB	ticket
935.png	military medal	🎖️	\U0001F396\U0000FE0F	U+1F396	military medal
936.png	trophy	🏆️	\U0001F3C6\U0000FE0F	U+1F3C6	trophy
937.png	sports medal	🏅️	\U0001F3C5\U0000FE0F	U+1F3C5	sports medal
938.png	1st place medal	🥇️	\U0001F947\U0000FE0F	U+1F947	1st place medal
939.png	2nd place medal	🥈️	\U0001F948\U0000FE0F	U+1F948	2nd place medal
940.png	3rd place medal	🥉️	\U0001F949\U0000FE0F	U+1F949	3rd place medal
941.png	soccer ball	⚽️	\U000026BD\U0000FE0F	U+26BD	soccer ball
942.png	baseball	⚾️	\U000026BE\U0000FE0F	U+26BE	baseball
943.png	⊛ softball	🥎️	\U0001F94E\U0000FE0F	U+1F94E	⊛ softball
944.png	basketball	🏀️	\U0001F3C0\U0000FE0F	U+1F3C0	basketball
945.png	volleyball	🏐️	\U0001F3D0\U0000FE0F	U+1F3D0	volleyball
946.png	american football	🏈️	\U0001F3C8\U0000FE0F	U+1F3C8	american football
947.png	rugby football	🏉️	\U0001F3C9\U0000FE0F	U+1F3C9	rugby football
948.png	tennis	🎾️	\U0001F3BE\U0000FE0F	U+1F3BE	tennis
949.png	⊛ flying disc	🥏️	\U0001F94F\U0000FE0F	U+1F94F	⊛ flying disc
950.png	bowling	🎳️	\U0001F3B3\U0000FE0F	U+1F3B3	bowling
951.png	cricket game	🏏️	\U0001F3CF\U0000FE0F	U+1F3CF	cricket game
952.png	field hockey	🏑️	\U0001F3D1\U0000FE0F	U+1F3D1	field hockey
953.png	ice hockey	🏒️	\U0001F3D2\U0000FE0F	U+1F3D2	ice hockey
954.png	⊛ lacrosse	🥍️	\U0001F94D\U0000FE0F	U+1F94D	⊛ lacrosse
955.png	ping pong	🏓️	\U0001F3D3\U0000FE0F	U+1F3D3	ping pong
956.png	badminton	🏸️	\U0001F3F8\U0000FE0F	U+1F3F8	badminton
957.png	boxing glove	🥊️	\U0001F94A\U0000FE0F	U+1F94A	boxing glove
958.png	martial arts uniform	🥋️	\U0001F94B\U0000FE0F	U+1F94B	martial arts uniform
959.png	goal net	🥅️	\U0001F945\U0000FE0F	U+1F945	goal net
960.png	flag in hole	⛳️	\U000026F3\U0000FE0F	U+26F3	flag in hole
961.png	ice skate	⛸️	\U000026F8\U0000FE0F	U+26F8	ice skate
962.png	fishing pole	🎣️	\U0001F3A3\U0000FE0F	U+1F3A3	fishing pole
963.png	running shirt	🎽️	\U0001F3BD\U0000FE0F	U+1F3BD	running shirt
964.png	skis	🎿️	\U0001F3BF\U0000FE0F	U+1F3BF	skis
965.png	sled	🛷️	\U0001F6F7\U0000FE0F	U+1F6F7	sled
966.png	curling stone	🥌️	\U0001F94C\U0000FE0F	U+1F94C	curling stone
967.png	direct hit	🎯️	\U0001F3AF\U0000FE0F	U+1F3AF	direct hit
968.png	pool 8 ball	🎱️	\U0001F3B1\U0000FE0F	U+1F3B1	pool 8 ball
969.png	crystal ball	🔮️	\U0001F52E\U0000FE0F	U+1F52E	crystal ball
970.png	⊛ nazar amulet	🧿️	\U0001F9FF\U0000FE0F	U+1F9FF	⊛ nazar amulet
971.png	video game	🎮️	\U0001F3AE\U0000FE0F	U+1F3AE	video game
972.png	joystick	🕹️	\U0001F579\U0000FE0F	U+1F579	joystick
973.png	slot machine	🎰️	\U0001F3B0\U0000FE0F	U+1F3B0	slot machine
974.png	game die	🎲️	\U0001F3B2\U0000FE0F	U+1F3B2	game die
975.png	⊛ jigsaw	🧩️	\U0001F9E9\U0000FE0F	U+1F9E9	⊛ jigsaw
976.png	⊛ teddy bear	🧸️	\U0001F9F8\U0000FE0F	U+1F9F8	⊛ teddy bear
977.png	spade suit	♠️	\U00002660\U0000FE0F	U+2660	spade suit
978.png	heart suit	♥️	\U00002665\U0000FE0F	U+2665	heart suit
979.png	diamond suit	♦️	\U00002666\U0000FE0F	U+2666	diamond suit
980.png	club suit	♣️	\U00002663\U0000FE0F	U+2663	club suit
981.png	⊛ chess pawn	♟️	\U0000265F\U0000FE0F	U+265F	⊛ chess pawn
982.png	joker	🃏️	\U0001F0CF\U0000FE0F	U+1F0CF	joker
983.png	mahjong red dragon	🀄️	\U0001F004\U0000FE0F	U+1F004	mahjong red dragon
984.png	flower playing cards	🎴️	\U0001F3B4\U0000FE0F	U+1F3B4	flower playing cards
985.png	performing arts	🎭️	\U0001F3AD\U0000FE0F	U+1F3AD	performing arts
986.png	framed picture	🖼️	\U0001F5BC\U0000FE0F	U+1F5BC	framed picture
987.png	artist palette	🎨️	\U0001F3A8\U0000FE0F	U+1F3A8	artist palette
988.png	⊛ thread	🧵️	\U0001F9F5\U0000FE0F	U+1F9F5	⊛ thread
989.png	⊛ yarn	🧶️	\U0001F9F6\U0000FE0F	U+1F9F6	⊛ yarn
990.png	muted speaker	🔇️	\U0001F507\U0000FE0F	U+1F507	muted speaker
991.png	speaker low volume	🔈️	\U0001F508\U0000FE0F	U+1F508	speaker low volume
992.png	speaker medium volume	🔉️	\U0001F509\U0000FE0F	U+1F509	speaker medium volume
993.png	speaker high volume	🔊️	\U0001F50A\U0000FE0F	U+1F50A	speaker high volume
994.png	loudspeaker	📢️	\U0001F4E2\U0000FE0F	U+1F4E2	loudspeaker
995.png	megaphone	📣️	\U0001F4E3\U0000FE0F	U+1F4E3	megaphone
996.png	postal horn	📯️	\U0001F4EF\U0000FE0F	U+1F4EF	postal horn
997.png	bell	🔔️	\U0001F514\U0000FE0F	U+1F514	bell
998.png	bell with slash	🔕️	\U0001F515\U0000FE0F	U+1F515	bell with slash
999.png	musical score	🎼️	\U0001F3BC\U0000FE0F	U+1F3BC	musical score
1000.png	musical note	🎵️	\U0001F3B5\U0000FE0F	U+1F3B5	musical note
1001.png	musical notes	🎶️	\U0001F3B6\U0000FE0F	U+1F3B6	musical notes
1002.png	studio microphone	🎙️	\U0001F399\U0000FE0F	U+1F399	studio microphone
1003.png	level slider	🎚️	\U0001F39A\U0000FE0F	U+1F39A	level slider
1004.png	control knobs	🎛️	\U0001F39B\U0000FE0F	U+1F39B	control knobs
1005.png	microphone	🎤️	\U0001F3A4\U0000FE0F	U+1F3A4	microphone
1006.png	headphone	🎧️	\U0001F3A7\U0000FE0F	U+1F3A7	headphone
1007.png	radio	📻️	\U0001F4FB\U0000FE0F	U+1F4FB	radio
1008.png	saxophone	🎷️	\U0001F3B7\U0000FE0F	U+1F3B7	saxophone
1009.png	guitar	🎸️	\U0001F3B8\U0000FE0F	U+1F3B8	guitar
1010.png	musical keyboard	🎹️	\U0001F3B9\U0000FE0F	U+1F3B9	musical keyboard
1011.png	trumpet	🎺️	\U0001F3BA\U0000FE0F	U+1F3BA	trumpet
1012.png	violin	🎻️	\U0001F3BB\U0000FE0F	U+1F3BB	violin
1013.png	drum	🥁️	\U0001F941\U0000FE0F	U+1F941	drum
1014.png	mobile phone	📱️	\U0001F4F1\U0000FE0F	U+1F4F1	mobile phone
1015.png	mobile phone with arrow	📲️	\U0001F4F2\U0000FE0F	U+1F4F2	mobile phone with arrow
1016.png	telephone	☎️	\U0000260E\U0000FE0F	U+260E	telephone
1017.png	telephone receiver	📞️	\U0001F4DE\U0000FE0F	U+1F4DE	telephone receiver
1018.png	pager	📟️	\U0001F4DF\U0000FE0F	U+1F4DF	pager
1019.png	fax machine	📠️	\U0001F4E0\U0000FE0F	U+1F4E0	fax machine
1020.png	battery	🔋️	\U0001F50B\U0000FE0F	U+1F50B	battery
1021.png	electric plug	🔌️	\U0001F50C\U0000FE0F	U+1F50C	electric plug
1022.png	laptop computer	💻️	\U0001F4BB\U0000FE0F	U+1F4BB	laptop computer
1023.png	desktop computer	🖥️	\U0001F5A5\U0000FE0F	U+1F5A5	desktop computer
1024.png	printer	🖨️	\U0001F5A8\U0000FE0F	U+1F5A8	printer
1025.png	keyboard	⌨️	\U00002328\U0000FE0F	U+2328	keyboard
1026.png	computer mouse	🖱️	\U0001F5B1\U0000FE0F	U+1F5B1	computer mouse
1027.png	trackball	🖲️	\U0001F5B2\U0000FE0F	U+1F5B2	trackball
1028.png	computer disk	💽️	\U0001F4BD\U0000FE0F	U+1F4BD	computer disk
1029.png	floppy disk	💾️	\U0001F4BE\U0000FE0F	U+1F4BE	floppy disk
1030.png	optical disk	💿️	\U0001F4BF\U0000FE0F	U+1F4BF	optical disk
1031.png	dvd	📀️	\U0001F4C0\U0000FE0F	U+1F4C0	dvd
1032.png	⊛ abacus	🧮️	\U0001F9EE\U0000FE0F	U+1F9EE	⊛ abacus
1033.png	movie camera	🎥️	\U0001F3A5\U0000FE0F	U+1F3A5	movie camera
1034.png	film frames	🎞️	\U0001F39E\U0000FE0F	U+1F39E	film frames
1035.png	film projector	📽️	\U0001F4FD\U0000FE0F	U+1F4FD	film projector
1036.png	clapper board	🎬️	\U0001F3AC\U0000FE0F	U+1F3AC	clapper board
1037.png	television	📺️	\U0001F4FA\U0000FE0F	U+1F4FA	television
1038.png	camera	📷️	\U0001F4F7\U0000FE0F	U+1F4F7	camera
1039.png	camera with flash	📸️	\U0001F4F8\U0000FE0F	U+1F4F8	camera with flash
1040.png	video camera	📹️	\U0001F4F9\U0000FE0F	U+1F4F9	video camera
1041.png	videocassette	📼️	\U0001F4FC\U0000FE0F	U+1F4FC	videocassette
1042.png	magnifying glass tilted left	🔍️	\U0001F50D\U0000FE0F	U+1F50D	magnifying glass tilted left
1043.png	magnifying glass tilted right	🔎️	\U0001F50E\U0000FE0F	U+1F50E	magnifying glass tilted right
1044.png	candle	🕯️	\U0001F56F\U0000FE0F	U+1F56F	candle
1045.png	light bulb	💡️	\U0001F4A1\U0000FE0F	U+1F4A1	light bulb
1046.png	flashlight	🔦️	\U0001F526\U0000FE0F	U+1F526	flashlight
1047.png	red paper lantern	🏮️	\U0001F3EE\U0000FE0F	U+1F3EE	red paper lantern
1048.png	notebook with decorative cover	📔️	\U0001F4D4\U0000FE0F	U+1F4D4	notebook with decorative cover
1049.png	closed book	📕️	\U0001F4D5\U0000FE0F	U+1F4D5	closed book
1050.png	open book	📖️	\U0001F4D6\U0000FE0F	U+1F4D6	open book
1051.png	green book	📗️	\U0001F4D7\U0000FE0F	U+1F4D7	green book
1052.png	blue book	📘️	\U0001F4D8\U0000FE0F	U+1F4D8	blue book
1053.png	orange book	📙️	\U0001F4D9\U0000FE0F	U+1F4D9	orange book
1054.png	books	📚️	\U0001F4DA\U0000FE0F	U+1F4DA	books
1055.png	notebook	📓️	\U0001F4D3\U0000FE0F	U+1F4D3	notebook
1056.png	ledger	📒️	\U0001F4D2\U0000FE0F	U+1F4D2	ledger
1057.png	page with curl	📃️	\U0001F4C3\U0000FE0F	U+1F4C3	page with curl
1058.png	scroll	📜️	\U0001F4DC\U0000FE0F	U+1F4DC	scroll
1059.png	page facing up	📄️	\U0001F4C4\U0000FE0F	U+1F4C4	page facing up
1060.png	newspaper	📰️	\U0001F4F0\U0000FE0F	U+1F4F0	newspaper
1061.png	rolled-up newspaper	🗞️	\U0001F5DE\U0000FE0F	U+1F5DE	rolled-up newspaper
1062.png	bookmark tabs	📑️	\U0001F4D1\U0000FE0F	U+1F4D1	bookmark tabs
1063.png	bookmark	🔖️	\U0001F516\U0000FE0F	U+1F516	bookmark
1064.png	label	🏷️	\U0001F3F7\U0000FE0F	U+1F3F7	label
1065.png	money bag	💰️	\U0001F4B0\U0000FE0F	U+1F4B0	money bag
1066.png	yen banknote	💴️	\U0001F4B4\U0000FE0F	U+1F4B4	yen banknote
1067.png	dollar banknote	💵️	\U0001F4B5\U0000FE0F	U+1F4B5	dollar banknote
1068.png	euro banknote	💶️	\U0001F4B6\U0000FE0F	U+1F4B6	euro banknote
1069.png	pound banknote	💷️	\U0001F4B7\U0000FE0F	U+1F4B7	pound banknote
1070.png	money with wings	💸️	\U0001F4B8\U0000FE0F	U+1F4B8	money with wings
1071.png	credit card	💳️	\U0001F4B3\U0000FE0F	U+1F4B3	credit card
1072.png	⊛ receipt	🧾️	\U0001F9FE\U0000FE0F	U+1F9FE	⊛ receipt
1073.png	chart increasing with yen	💹️	\U0001F4B9\U0000FE0F	U+1F4B9	chart increasing with yen
1074.png	currency exchange	💱️	\U0001F4B1\U0000FE0F	U+1F4B1	currency exchange
1075.png	heavy dollar sign	💲️	\U0001F4B2\U0000FE0F	U+1F4B2	heavy dollar sign
1076.png	envelope	✉️	\U00002709\U0000FE0F	U+2709	envelope
1077.png	e-mail	📧️	\U0001F4E7\U0000FE0F	U+1F4E7	e-mail
1078.png	incoming envelope	📨️	\U0001F4E8\U0000FE0F	U+1F4E8	incoming envelope
1079.png	envelope with arrow	📩️	\U0001F4E9\U0000FE0F	U+1F4E9	envelope with arrow
1080.png	outbox tray	📤️	\U0001F4E4\U0000FE0F	U+1F4E4	outbox tray
1081.png	inbox tray	📥️	\U0001F4E5\U0000FE0F	U+1F4E5	inbox tray
1082.png	package	📦️	\U0001F4E6\U0000FE0F	U+1F4E6	package
1083.png	closed mailbox with raised flag	📫️	\U0001F4EB\U0000FE0F	U+1F4EB	closed mailbox with raised flag
1084.png	closed mailbox with lowered flag	📪️	\U0001F4EA\U0000FE0F	U+1F4EA	closed mailbox with lowered flag
1085.png	open mailbox with raised flag	📬️	\U0001F4EC\U0000FE0F	U+1F4EC	open mailbox with raised flag
